,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
142,12/2/22 19:15,Pensacola,FL,USA,Fireball,30 to 45 minutes,Orange firey orbs flying over neighborhood,12/22/22,
143,12/2/22 13:15,Clover,SC,USA,Chevron,Maybe 30 seconds,I was laying in bed looking out the window partly cloudy day and started taking pictures towards sun when I saw the bright orange color,12/22/22,Yes
144,12/2/22 07:34,Palmetto,FL,USA,Unknown,3 minutes,Portal type opening in the sky,12/22/22,Yes
145,12/2/22 04:45,200 miles East of ORD at 39000 feet traveling east,OH,USA,Sphere,Aproximatly 20-30 min,3 bright objects moved at high speed in a lower orbit or lower in irregular pattern.((NUFORC Note:  Report from airline pilot.  PD)),12/22/22,
146,12/2/22 03:56,Warrenton,VA,USA,Changing,5 min,I have not seen a craft but have experienced a lot of oddities in my own house.,12/22/22,
147,12/1/22 19:35,Versailles,KY,USA,Fireball,3-4 seconds,"Was traveling east toward Versailles, Ky and witnessed a right fireball falling and traveling from the northwest to southeast .",12/22/22,
148,12/1/22 19:33,Dawsonville,GA,USA,Light,10 seconds,I thought it was a plane going down,12/22/22,
149,12/1/22 19:33,Edwardsburg,MI,USA,Fireball,10-15 seconds max,"Light blue fireball, long, white, trailing tail. Before striking the earth quick turns to the east at low level.",12/22/22,
150,12/1/22 18:45,Elyria,OH,USA,Triangle,,So many of them,12/22/22,
151,12/1/22 18:30,Savannah,GA,USA,Unknown,2 nights,"Extremely large craft near Jupiter for at least 2 nights, caught on phone camera & saw other reports of this UFO on facebook",12/22/22,Yes
152,12/1/22 18:10,Blakeslee,OH,USA,Sphere,5 minutes,Bright spherical object moving linear west to east at 20 thousand feet high.,12/22/22,Yes
153,12/1/22 18:00,Snowflake,AZ,USA,Triangle,2 minutes,I grew up on a 40 acre parcel of land with three small hills.and saw a UFO come up out of one of them.,12/22/22,
154,12/1/22 15:33,,,USA,Cross,,I observed some type of phenomenon that I was not able to explain it happened so fast that I was not able to comprehend and as well as,12/22/22,Yes
155,12/1/22 14:10,El paso,TX,USA,Oval,Ten minutes,It appeared out of nowhere & slowly moved across the sky,12/22/22,
156,12/1/22 06:20,CHARLESTOWN,IN,USA,Light,2 to 3 minutes,Bright object was seen arriving and silently hovering over neighbor's home before moving behind our house and lighting up a window.,12/22/22,Yes
157,12/1/22 03:59,Mansfield,TX,USA,Changing,60 seconds,Looked like a drone but moved way too fast then had a cylinder of color changing lights that looked like they were dropping down,12/22/22,
