,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
239,7/16/22 12:00,Tayport fife,Fife,United Kingdom,Oval,5-10mins,Tic tac darting about sky,9/9/22,
240,7/16/22 11:40,Boynton Beach,FL,USA,Diamond,30 seconds,I was alerted to it by the Sun's refection & lack of movement.,9/9/22,
241,7/16/22 07:56,Concho,,USA,Circle,24 hours a day every day,seen in the night sky above home Blinking white lights white can be seen following my vehicle overhead when driving car/follows me,9/9/22,
242,7/16/22 04:53,,Queensland,Australia,Chevron,3 minutes,7 bright objects moving slowly westward from the city,9/9/22,
243,7/16/22 04:33,Worcester,MA,USA,Changing,I watched it for 6-7 mins,"I observed a bright object that appeared to be a cluster of lights , it changed from oblong to rectangular.",9/9/22,
244,7/16/22 02:50,Katy,TX,USA,Fireball,1 minute,Orange fireball seen moving upward from low position then drifting off into the air. Video evidence.,9/9/22,Yes
245,7/16/22 02:30,Stoneham,MA,USA,Rectangle,1 minute,Lights hovered in sky and moved overhead bright red lights blinking then stopping changing course at a right angle and moving away.,9/9/22,
246,7/16/22 02:18,Ridgecrest,CA,USA,Circle,Approximately 10 to 15 se,I saw a very large bright intense green fireball. I was driving along side it so I don't know if it was moving or not.,9/9/22,
247,7/15/22 23:11,Corpus Christi,TX,USA,Light,10-15 seconds,Red Light SLOWLY GOING DOWN,9/9/22,
248,7/15/22 22:49,Lebec,CA,USA,Other,,"Green transparent light; falling directly from the sky into the grown, then vanishing",9/9/22,
249,7/15/22 22:38,Barnwell,SC,USA,Light,Abt. 20 sec.,Blue pulsating light,9/9/22,
250,7/15/22 22:06,Two Harbors,MN,USA,Disk,,Orange light moving,9/9/22,
251,7/15/22 22:01,BRADENTON,FL,USA,Circle,Approx one minute,Bright white sphere. Larger than a star..moving steadily then vanishing.Not helicopter.no flashing lights.,9/9/22,
252,7/15/22 22:00,COLUMBUS,OH,USA,Light,About 20 to 40 minutes,"Light at long distance that rose vertically, dropped about 10 degrees and then remained stationary and pulsed about once per second.",9/9/22,
253,7/15/22 22:00,East granby,CT,USA,Changing,1 minute. Was very quick,"Was talking with my moms bf, when I looked above and saw a metallic shape, but shortly after it left a trail of light and vanished.",9/9/22,Yes
254,7/15/22 21:00,Winchester,MA,USA,Triangle,30 -45 seconds,3 points of light in a massive triangle moving together,9/9/22,
255,7/15/22 20:45,Fredericksburg,VA,USA,Light,Roughly 5 minutes,Bright light hovering in northern sky.,9/9/22,
256,7/15/22 20:00,"laramie, wyoming",WY,USA,Cone,30 minutes,Looked up in the dimming night sky--sun was still setting--orange to the west---above I saw a very bright -very large STRAIGHT object,9/9/22,Yes
257,7/15/22 19:15,Ruskin,FL,USA,Circle,2-3 minutes,"Brightly lit object stationary in the sky for 2-3 minutes, during recording my camera failed and shut off",9/9/22,Yes
258,7/15/22 17:33,,,,Oval,,odd light in the sky,12/22/22,Yes
259,7/15/22 14:20,Columbus,OH,USA,Other,Few minutes,Craft was in the shape of a ring. My son called it Sonic’s ring.,9/9/22,Yes
260,7/15/22 11:30,Destin,FL,USA,Oval,5 seconds,Stationary white oval with tail,9/9/22,
261,7/15/22 10:30,Checotah,OK,USA,Circle,50 minutes,All the stars moved so fast that we got scared then the usaf followed them,9/9/22,
262,7/15/22 03:25,Napavine,WA,USA,Sphere,Lasted about an hour,Very bright bouncing sphere. Illuminating the clouds and sky.. slow moving,9/9/22,
263,7/15/22 00:22,Memphis,TN,USA,Changing,Almost 3 minutes of foota,Strange big light object appeared in the sky and sat there just kind of tilted.,9/9/22,
264,7/14/22 23:53,Stanwood wa,,,Circle,15 seconds,Saw a bright unblinking light going above my house and the light was changing colors,9/9/22,
265,7/14/22 22:36,Plymouth,VT,USA,Cigar,W-SE 45 - 90 sec.,Very unusual craft traveling w-se no sound whatsoever,9/9/22,
266,7/14/22 22:30,East Hartford,CT,USA,Oval,13 Minutes,At approximately 10:30pm on 7/14 I noticed 4 oval shaped lights hovering about 150ft above the park down the street.,9/9/22,
267,7/14/22 21:45,Bowling Green,KY,USA,Other,Ongoing,Many lights appeared behind my house and other homes in the neighborhood after an orb appeared in the sky the night before.,12/22/22,Yes
268,7/14/22 21:26,White City,SA,Canada,Triangle,less than a second,Saw three lights in triangle shape shoot across sky,9/9/22,
269,7/14/22 21:25,"Kirklandlake , ontario",,Canada,Circle,"15 ,20 min from north s",No noise .no exaust .no lights seen orb infront of the rectangle,9/9/22,Yes
270,7/14/22 21:18,Carson City,null,USA,Circle,About a minute,"Bright orb in the eastern sky, moving incredibly fast.",9/9/22,
271,7/14/22 21:08,Gorham,ME,USA,Light,7 minutes,"Flying bright white light, no visible structure, no sound",9/9/22,
272,7/14/22 21:00,Seattle,WA,USA,Star,Several minutes,Saw a star shaped craft floating like a feather and gliding across the sky towards the airport probably 400-500’ in the air,9/9/22,
273,7/14/22 20:58,Torrance,CA,USA,Teardrop,Six seconds,Dark Gray Mass Over Southern California,9/9/22,
