,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
283,10/15/22 17:15,Ocala,FL,USA,Circle,30 seconds,Two objects flying at high speed,12/22/22,
284,10/15/22 16:46,Reno,NV,USA,Sphere,5 minutes,Bright sphere accompanied by “fuzzy” orb,12/22/22,
285,10/15/22 16:04,kingston,ON,Canada,Sphere,45 seconds +/-,spherical object flying above sporadic clouds from northwest to southeast in daylight,12/22/22,
286,10/15/22 14:33,Newport,RI,USA,Cone,Not sure; less than 5 min,Cone shaped with tails appearing to be all white light.  ((NUFORC Note:  Contrail.  PD)),12/22/22,Yes
287,10/15/22 13:44,Missoula,MT,USA,Other,9 mins approximately,Silver metal boomerang shaped object that moved across the sky and changed shape.,12/22/22,Yes
288,10/15/22 12:52,Shoreline,WA,USA,Star,8/22/2022 TO 10/15/2022,"Mother Ship 1st appeared on 8/22/2022. It is a Huge, Bright, Low in the Star. It hovers out here for 4 hours minimum testing.",12/22/22,Yes
289,10/15/22 08:06,Mequon,WI,USA,Light,2 min,2 red light flying in straight line no blinking,12/22/22,
290,10/15/22 01:36,Chichester,,,Light,10/15 seconds,Small light low down only for a few seconds and then just flew of very fast going up,12/22/22,
291,10/15/22 01:25,Wellington,FL,USA,Fireball,3 to 4 minutes,Bright orange light grew larger before flying across sky with bright tail,12/22/22,
292,10/14/22 22:25,West Palm Beach,FL,USA,Light,10 minutes,Blue/Green/Yellow Light Orb emitted their own light-moved close to us for at least 5-10 min. (see video) ((NUFORC::  Lens flare.  PD)),12/22/22,Yes
293,10/14/22 22:21,Jersey City,NJ,USA,Circle,5 minutes,Orange lights. Few moving in 2s together few were scattered,12/22/22,Yes
294,10/14/22 22:17,Scotland,Scotland,United Kingdom,Light,5 minutes,No sound,12/22/22,
295,10/14/22 21:45,Glendale,AZ,USA,Triangle,10 seconds,Grey triangle craft flying extremely low or very large going an estimated 80 miles and hour flew straight overhead going beyond treelin,12/22/22,
296,10/14/22 21:15,Goulds,FL,USA,Other,UFO,I was sitting in my car and just so happens took look up and noticed three circles of light at fist then 4 and then 3 more I have video,12/22/22,
297,10/14/22 20:30,Piqua,OH,USA,Oval,Lasted approximately 10 m,Witnessed several orbs along with circling helicopters,12/22/22,
298,10/14/22 20:00,Spangle,WA,USA,Other,5-10 seconds,Wedge/Z shaped craft with gray/green metalic color with a purple shift,12/22/22,
299,10/14/22 19:41,Brandon,MS,USA,Star,5 min,A separated line of star like images crossing like satellites one after the other with one turning north,12/22/22,Yes
300,10/14/22 19:00,Rural area,TN,USA,Changing,2hr,"Several crafts & creatures we call watchers. they never bother, just watch us.",12/22/22,Yes
301,10/14/22 18:46,Clemons,NY,USA,Unknown,1 min,Unexplained large lights,12/22/22,Yes
302,10/14/22 18:30,Foothill Ranch,CA,USA,Formation,30 seconds,Strange formation high up on the sky above the palm tree,12/22/22,Yes
303,10/14/22 16:49,Carrollton,OH,USA,Circle,Picture,In a field,12/22/22,Yes
304,10/14/22 09:11,South Brisbane,Queensland,Australia,Fireball,10 seconds,There was a big fireball in the sky and I sensed an ominous presence.,12/22/22,
305,10/14/22 06:17,Bedminster,NJ,USA,Cone,Seconds,Light,12/22/22,
306,10/14/22 04:00,Oklahoma City,OK,USA,Light,An hour,Hovering light/blue slow blinks,12/22/22,
307,10/14/22 02:00,Dublin,VA,USA,Light,5 seconds or less,Bright green light flying downward instantly from a stationary position in the sky.,12/22/22,
308,10/14/22 01:52,Coquille,OR,USA,Circle,5+ mins,"I was testing a camera app called hydra on my phone and shot three pictures, the first and third both had odd anomalies",12/22/22,Yes
309,10/14/22 00:08,Kenner,LA,USA,Other,2 minutes,I have a video of it on my phone,12/22/22,
310,10/13/22 23:20,Fayetteville,AR,USA,Formation,8-10 seconds,Saw a formation of red/orange lights gliding across the sky unison shifting different formations into shape like patterns.,12/22/22,
311,10/13/22 21:41,Republic,MO,USA,Light,2 minutes,Two solid super bright lights hovering 300ft up,12/22/22,
312,10/13/22 20:35,Lynchburg,VA,USA,Light,2 minutes,3 small lights moving fast,12/22/22,
313,10/13/22 20:30,Memphis,TN,USA,Changing,short,Green and white light fluttering down to the ground,12/22/22,
314,10/13/22 20:00,Manchester,OH,USA,Light,30-40 minutes+,"My wife and I were sitting outside by our fire ring when I noticed a light to the north east that was moving, coming to a complete stop",12/22/22,
315,10/13/22 18:14,El Dorado Hills,,USA,Diamond,3:50,Looked like weather barons but there were 8-10,12/22/22,
316,10/12/22 22:19,Lynnwood,WA,USA,Cylinder,30-50 seconds,"A light blue beam appeared in the sky, shortly after it appeared some type of craft appeared with fire and sparks behind it.",12/22/22,
317,10/12/22 21:00,,,,Cylinder,,I did not see this. Please see the link on the sighting detail.,12/22/22,
318,10/12/22 20:02,Messina Sicily,Sicily,Italy,Disk,A couple of seconds,Green looking saucer I managed to get a picture of,12/22/22,Yes
319,10/12/22 19:00,"Woolacombe, Minehead, gloucester",,United Kingdom,Circle,3 days,Been hounded for 3 days out in my camper,12/22/22,
320,10/12/22 18:50,Rogers,AR,USA,Sphere,15,Shining Metallic Solid Orb,12/22/22,Yes
321,10/12/22 17:50,Wells,ME,USA,Disk,Two minutes,UFO hovering above the trees behind our condo.,12/22/22,
322,10/12/22 15:11,Guilford,CT,USA,Circle,30 minutes,"I was on our deck, I looked up and saw a sun which turned into a dumbbell.",12/22/22,Yes
323,10/12/22 15:04,Columbus,GA,USA,Oval,One or two minutés,Spotted an oval/round UFO hovering lower than a plane would outside my apartment.,12/22/22,
324,10/12/22 14:19,Plymouth,,,Triangle,Five minutes stationary,"Witnessed a very dark (black) triangle shaped unmoving UFO within a ""chemtrail"". Moved due West/NorthWest",12/22/22,
325,10/12/22 12:12,Sigourney,IA,USA,Disk,Unknown,Found pick in phone 1 week later did not see craft when pic taken,12/22/22,
326,10/12/22 06:00,Simpsonville,SC,USA,Light,10 seconds,"It was there in a circle of clouds, odd cloud formation like an intense bright light",12/22/22,Yes
327,10/12/22 03:04,Columbu,GA,USA,Oval,One or two minutes,Spotted an object with bright lights hovering lower than a plane outside my apartment building last night. It was round/oval in shape.,12/22/22,
328,10/12/22 01:00,Philadelphia,PA,USA,Other,3-5 min,object with a solid red light hovered silently and flew directly toward me from 1 mile away within the time it took me to blink,12/22/22,
329,10/12/22 00:45,Bozeman,MT,USA,Light,6 minutes,Object appeared was moving then disappeared,12/22/22,
330,10/11/22 23:20,Viola,DE,USA,Triangle,5 minutes,Hovering triangular aircraft seen again in our field,12/22/22,
331,10/11/22 23:01,Livingston,MT,USA,Changing,more than 1 hour,observed light over hayfield near house and videoed. fell asleep. gone by 4 am.,12/22/22,
332,10/11/22 22:33,Turlock,CA,USA,Triangle,6 seconds,This is the third time I’ve seen this object except this time had 3 white static lights other times 5 warm white,12/22/22,
333,10/11/22 22:18,Farmington,NM,USA,Circle,5 Minutes,Blob of light slowly moving,12/22/22,Yes
334,10/11/22 21:25,North topsail island,NC,USA,Circle,"The majority, 30 min- 45",Most ufo sightings in one place at one time in my whole life been here for a few days every night the sky is crazy,12/22/22,
335,10/11/22 20:00,Portland,OR,USA,Sphere,3 minutes,red lights on saucer,12/22/22,
336,10/11/22 19:59,Lake Forest,CA,USA,Formation,About 5 seconds,5 or 6 formation craft flew by while constantly changing formation.,12/22/22,
337,10/11/22 19:00,Portsmouth,Hampshire,United Kingdom,Fireball,10 minutes,"Three ""fireballs"" travelling in line and equidistant. First fireball stopped, turned around, receded to tiny white light.",12/22/22,
