,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
327,9/13/22 19:27,Chandigarh,Chandigarh,India,Circle,More than 30 seconds.,Similar to a shining star and going in a straight line.,10/8/22,
328,9/13/22 19:10,Manchester,Lancashire,United Kingdom,Oval,10 minutes,I was looking up at an aircraft high up in the atmosphere flying along leaving a vapour trail.,10/8/22,
329,9/13/22 06:59,Naples,FL,USA,Changing,7 to 10 min.,Noticed an orb to the right of the moob,10/8/22,
330,9/13/22 05:05,Prosper,TX,USA,Circle,About 10 minutes,oscillating sphere in sky sparkled various color blueish and slight red,10/8/22,Yes
331,9/13/22 00:01,Baldwin Park,CA,USA,Changing,Still out there,Weird lights like orbs changing,10/8/22,
332,9/12/22 22:32,California,PA,USA,Unknown,Over 30 minutes,There were 3 in the shape of a triangle and one circling around it like a fly in smooth motions but not like a plane.,10/8/22,Yes
333,9/12/22 22:30,Mount Vernon,KY,USA,Disk,15 minutes,Rotating disk,10/8/22,
334,9/12/22 22:30,Windsor,,Canada,Cigar,5-10 seconds,A unknown object flying very low. Had no wings and was as loud and fast as a jet,10/8/22,
335,9/12/22 22:05,Thomaston,CT,USA,Disk,2 seconds,We saw a large ship completely lit up moving at an impossible speed across the sky for 2 seconds,10/8/22,Yes
336,9/12/22 22:00,Kiowa,CO,USA,Light,All night,Several Bright lights in the sky. Float and will move closer.,10/8/22,
337,9/12/22 21:19,Garson,ON,Canada,Triangle,60 to 90 seconds,"Two triangular craft moving silently in a southerly direction towards my location, then westward up and out of sight. Velocity unknown.",10/8/22,Yes
338,9/12/22 21:15,Fairport,OH,,Circle,20 seconds,Thought it was a shooting star till I looked at video,12/22/22,
339,9/12/22 19:55,North Chesterfield,VA,USA,Fireball,It is a still shot,It looks like something entering the atmosphere two objects glowing green,10/8/22,Yes
340,9/12/22 15:30,Isle of Mull,Argyll and Bute,United Kingdom,Star,10 minutes,Unexplained fling object in sky.,10/8/22,Yes
341,9/12/22 13:15,Flushing,NY,USA,Unknown,5 minutes,Craft,10/8/22,Yes
342,9/12/22 09:25,Mount Airy,NC,USA,Disk,Around 30 seconds,Strange object flying in a field.,10/8/22,
343,9/12/22 04:31,San Diego,CA,USA,Unknown,~5-7 minutes,Not clusters from starlink satellites nor aircraft but very high and nearby flying and all emitting light. Came close then parted .,10/8/22,
